MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2022-10,Blaxland Station,Train,Exit,8030
2022-11,Blaxland Station,Train,Entry,6900
2022-11,Blaxland Station,Train,Exit,6480
2022-12,Blaxland Station,Train,Entry,7000
2022-12,Blaxland Station,Train,Exit,6130
2023-01,Blaxland Station,Train,Entry,7170
2023-01,Blaxland Station,Train,Exit,6800
2023-02,Blaxland Station,Train,Entry,9030
2023-02,Blaxland Station,Train,Exit,8550
2023-03,Blaxland Station,Train,Entry,10430
2023-03,Blaxland Station,Train,Exit,9510
2023-04,Blaxland Station,Train,Entry,8390
2023-04,Blaxland Station,Train,Exit,7480
2023-05,Blaxland Station,Train,Entry,10340
2023-05,Blaxland Station,Train,Exit,9370
2023-06,Blaxland Station,Train,Entry,9770
2023-06,Blaxland Station,Train,Exit,8900
2023-07,Blaxland Station,Train,Entry,9030
2023-07,Blaxland Station,Train,Exit,8170
2023-08,Blaxland Station,Train,Entry,10600
2023-08,Blaxland Station,Train,Exit,9570
2023-09,Blaxland Station,Train,Entry,9560
2023-09,Blaxland Station,Train,Exit,8690
2023-10,Blaxland Station,Train,Entry,10090
2023-10,Blaxland Station,Train,Exit,8960
2023-11,Blaxland Station,Train,Entry,10330
2023-11,Blaxland Station,Train,Exit,9270
2023-12,Blaxland Station,Train,Entry,8440
2023-12,Blaxland Station,Train,Exit,7460
2024-01,Blaxland Station,Train,Entry,8700
2024-01,Blaxland Station,Train,Exit,8040
2024-02,Blaxland Station,Train,Entry,10560
2024-02,Blaxland Station,Train,Exit,9560
2024-03,Blaxland Station,Train,Entry,11200
2024-03,Blaxland Station,Train,Exit,10110
2024-04,Blaxland Station,Train,Entry,10250
2024-04,Blaxland Station,Train,Exit,9360
2024-05,Blaxland Station,Train,Entry,11330
2024-05,Blaxland Station,Train,Exit,10200
2024-06,Blaxland Station,Train,Entry,9930
2024-06,Blaxland Station,Train,Exit,9040
2016-07,Bomaderry Station,Train,Entry,7430
2016-07,Bomaderry Station,Train,Exit,6340
2016-08,Bomaderry Station,Train,Entry,9990
2016-08,Bomaderry Station,Train,Exit,8510
2016-09,Bomaderry Station,Train,Entry,10130
2016-09,Bomaderry Station,Train,Exit,8880
2016-10,Bomaderry Station,Train,Entry,10050
2016-10,Bomaderry Station,Train,Exit,8580
2016-11,Bomaderry Station,Train,Entry,10260
2016-11,Bomaderry Station,Train,Exit,8820
2016-12,Bomaderry Station,Train,Entry,10870
2016-12,Bomaderry Station,Train,Exit,9320
2017-01,Bomaderry Station,Train,Entry,11220
2017-01,Bomaderry Station,Train,Exit,9590
2017-02,Bomaderry Station,Train,Entry,8920
2017-02,Bomaderry Station,Train,Exit,7700
2017-03,Bomaderry Station,Train,Entry,11460
2017-03,Bomaderry Station,Train,Exit,9830
2017-04,Bomaderry Station,Train,Entry,10830
2017-04,Bomaderry Station,Train,Exit,9170
2017-05,Bomaderry Station,Train,Entry,10770
2017-05,Bomaderry Station,Train,Exit,9440
2017-06,Bomaderry Station,Train,Entry,9900
2017-06,Bomaderry Station,Train,Exit,8790
2017-07,Bomaderry Station,Train,Entry,9850
2017-07,Bomaderry Station,Train,Exit,8190
2017-08,Bomaderry Station,Train,Entry,10050
2017-08,Bomaderry Station,Train,Exit,8550
2017-09,Bomaderry Station,Train,Entry,10240
2017-09,Bomaderry Station,Train,Exit,9010
2017-10,Bomaderry Station,Train,Entry,10620
2017-10,Bomaderry Station,Train,Exit,8830
2017-11,Bomaderry Station,Train,Entry,10170
2017-11,Bomaderry Station,Train,Exit,8400
2017-12,Bomaderry Station,Train,Entry,10690
2017-12,Bomaderry Station,Train,Exit,8820
2018-01,Bomaderry Station,Train,Entry,10600
2018-01,Bomaderry Station,Train,Exit,8690
2018-02,Bomaderry Station,Train,Entry,9430
2018-02,Bomaderry Station,Train,Exit,7750
2018-03,Bomaderry Station,Train,Entry,10900
2018-03,Bomaderry Station,Train,Exit,9410
2018-04,Bomaderry Station,Train,Entry,11080
2018-04,Bomaderry Station,Train,Exit,8890
2018-05,Bomaderry Station,Train,Entry,10760
2018-05,Bomaderry Station,Train,Exit,8750
2018-06,Bomaderry Station,Train,Entry,9490
2018-06,Bomaderry Station,Train,Exit,7930
2018-07,Bomaderry Station,Train,Entry,9540
2018-07,Bomaderry Station,Train,Exit,7950
2018-08,Bomaderry Station,Train,Entry,10090
2018-08,Bomaderry Station,Train,Exit,8540
2018-09,Bomaderry Station,Train,Entry,9760
2018-09,Bomaderry Station,Train,Exit,8450
2018-10,Bomaderry Station,Train,Entry,11090
2018-10,Bomaderry Station,Train,Exit,9030
2018-11,Bomaderry Station,Train,Entry,10420
2018-11,Bomaderry Station,Train,Exit,8490
2018-12,Bomaderry Station,Train,Entry,10460
2018-12,Bomaderry Station,Train,Exit,8360
2019-01,Bomaderry Station,Train,Entry,11120
2019-01,Bomaderry Station,Train,Exit,9210
2019-02,Bomaderry Station,Train,Entry,9650
2019-02,Bomaderry Station,Train,Exit,7960
2019-03,Bomaderry Station,Train,Entry,10510
2019-03,Bomaderry Station,Train,Exit,8680
2019-04,Bomaderry Station,Train,Entry,11250
2019-04,Bomaderry Station,Train,Exit,9270
2019-05,Bomaderry Station,Train,Entry,11120
2019-05,Bomaderry Station,Train,Exit,9150
2019-06,Bomaderry Station,Train,Entry,9340
2019-06,Bomaderry Station,Train,Exit,7810
2019-07,Bomaderry Station,Train,Entry,10170
2019-07,Bomaderry Station,Train,Exit,8450
2019-08,Bomaderry Station,Train,Entry,10170
2019-08,Bomaderry Station,Train,Exit,8510
2019-09,Bomaderry Station,Train,Entry,8760
2019-09,Bomaderry Station,Train,Exit,6890
2019-10,Bomaderry Station,Train,Entry,10570
2019-10,Bomaderry Station,Train,Exit,8980
2019-11,Bomaderry Station,Train,Entry,9410
2019-11,Bomaderry Station,Train,Exit,7770
2019-12,Bomaderry Station,Train,Entry,10080
2019-12,Bomaderry Station,Train,Exit,8250
2020-01,Bomaderry Station,Train,Entry,8670
2020-01,Bomaderry Station,Train,Exit,6970
2020-02,Bomaderry Station,Train,Entry,8160
2020-02,Bomaderry Station,Train,Exit,6620
2020-03,Bomaderry Station,Train,Entry,6230
2020-03,Bomaderry Station,Train,Exit,5340
2020-04,Bomaderry Station,Train,Entry,1070
2020-04,Bomaderry Station,Train,Exit,840
2020-05,Bomaderry Station,Train,Entry,2400
2020-05,Bomaderry Station,Train,Exit,1990
2020-06,Bomaderry Station,Train,Entry,3760
2020-06,Bomaderry Station,Train,Exit,3070
2020-07,Bomaderry Station,Train,Entry,4820
2020-07,Bomaderry Station,Train,Exit,3990
2020-08,Bomaderry Station,Train,Entry,3320
2020-08,Bomaderry Station,Train,Exit,2700
2020-09,Bomaderry Station,Train,Entry,3910
2020-09,Bomaderry Station,Train,Exit,3180
2020-10,Bomaderry Station,Train,Entry,4850
2020-10,Bomaderry Station,Train,Exit,4080
2020-11,Bomaderry Station,Train,Entry,4770
2020-11,Bomaderry Station,Train,Exit,3960
2020-12,Bomaderry Station,Train,Entry,5320
2020-12,Bomaderry Station,Train,Exit,4440
2021-01,Bomaderry Station,Train,Entry,4570
2021-01,Bomaderry Station,Train,Exit,3660
2021-02,Bomaderry Station,Train,Entry,4480
2021-02,Bomaderry Station,Train,Exit,3740
2021-03,Bomaderry Station,Train,Entry,5640
2021-03,Bomaderry Station,Train,Exit,4560
2021-04,Bomaderry Station,Train,Entry,6390
2021-04,Bomaderry Station,Train,Exit,5280
2021-05,Bomaderry Station,Train,Entry,5700
2021-05,Bomaderry Station,Train,Exit,4820
2021-06,Bomaderry Station,Train,Entry,4550
2021-06,Bomaderry Station,Train,Exit,3820
2021-07,Bomaderry Station,Train,Entry,1110
2021-07,Bomaderry Station,Train,Exit,910
2021-08,Bomaderry Station,Train,Entry,770
2021-08,Bomaderry Station,Train,Exit,620
2021-09,Bomaderry Station,Train,Entry,670
2021-09,Bomaderry Station,Train,Exit,570
2021-10,Bomaderry Station,Train,Entry,1400
2021-10,Bomaderry Station,Train,Exit,1070
2021-11,Bomaderry Station,Train,Entry,4210
2021-11,Bomaderry Station,Train,Exit,3510
2021-12,Bomaderry Station,Train,Entry,4720
2021-12,Bomaderry Station,Train,Exit,3850
2022-01,Bomaderry Station,Train,Entry,3900
2022-01,Bomaderry Station,Train,Exit,3040
2022-02,Bomaderry Station,Train,Entry,3370
2022-02,Bomaderry Station,Train,Exit,2810
2022-03,Bomaderry Station,Train,Entry,4020
2022-03,Bomaderry Station,Train,Exit,2970
2022-04,Bomaderry Station,Train,Entry,4710
2022-04,Bomaderry Station,Train,Exit,3260
2022-05,Bomaderry Station,Train,Entry,5720
2022-05,Bomaderry Station,Train,Exit,4470
2022-06,Bomaderry Station,Train,Entry,5340
2022-06,Bomaderry Station,Train,Exit,4270
2022-07,Bomaderry Station,Train,Entry,4860
2022-07,Bomaderry Station,Train,Exit,3740
2022-08,Bomaderry Station,Train,Entry,5300
2022-08,Bomaderry Station,Train,Exit,4190
2022-09,Bomaderry Station,Train,Entry,5290
2022-09,Bomaderry Station,Train,Exit,4230
2022-10,Bomaderry Station,Train,Entry,5860
2022-10,Bomaderry Station,Train,Exit,4610
2022-11,Bomaderry Station,Train,Entry,4940
2022-11,Bomaderry Station,Train,Exit,4120
2022-12,Bomaderry Station,Train,Entry,6950
2022-12,Bomaderry Station,Train,Exit,5690
2023-01,Bomaderry Station,Train,Entry,7000
2023-01,Bomaderry Station,Train,Exit,5530
2023-02,Bomaderry Station,Train,Entry,6010
2023-02,Bomaderry Station,Train,Exit,4840
2023-03,Bomaderry Station,Train,Entry,6770
2023-03,Bomaderry Station,Train,Exit,5530
2023-04,Bomaderry Station,Train,Entry,6800
2023-04,Bomaderry Station,Train,Exit,5390
2023-05,Bomaderry Station,Train,Entry,6400
2023-05,Bomaderry Station,Train,Exit,5190
2023-06,Bomaderry Station,Train,Entry,6150
2023-06,Bomaderry Station,Train,Exit,5090
2023-07,Bomaderry Station,Train,Entry,6510
2023-07,Bomaderry Station,Train,Exit,5200
2023-08,Bomaderry Station,Train,Entry,7030
2023-08,Bomaderry Station,Train,Exit,5780
2023-09,Bomaderry Station,Train,Entry,6850
2023-09,Bomaderry Station,Train,Exit,5850
2023-10,Bomaderry Station,Train,Entry,7290
2023-10,Bomaderry Station,Train,Exit,5920
2023-11,Bomaderry Station,Train,Entry,7380
2023-11,Bomaderry Station,Train,Exit,6130
2023-12,Bomaderry Station,Train,Entry,7640
2023-12,Bomaderry Station,Train,Exit,6140
2024-01,Bomaderry Station,Train,Entry,7990
2024-01,Bomaderry Station,Train,Exit,6390
2024-02,Bomaderry Station,Train,Entry,6910
2024-02,Bomaderry Station,Train,Exit,5470
2024-03,Bomaderry Station,Train,Entry,8110
2024-03,Bomaderry Station,Train,Exit,6860
2024-04,Bomaderry Station,Train,Entry,6190
2024-04,Bomaderry Station,Train,Exit,4870
2024-05,Bomaderry Station,Train,Entry,7420
2024-05,Bomaderry Station,Train,Exit,5920
2024-06,Bomaderry Station,Train,Entry,5930
2024-06,Bomaderry Station,Train,Exit,4890
2016-07,Bombo Station,Train,Entry,490
2016-07,Bombo Station,Train,Exit,350
2016-08,Bombo Station,Train,Entry,630
2016-08,Bombo Station,Train,Exit,480
2016-09,Bombo Station,Train,Entry,620
2016-09,Bombo Station,Train,Exit,460
2016-10,Bombo Station,Train,Entry,780
2016-10,Bombo Station,Train,Exit,680
2016-11,Bombo Station,Train,Entry,770
2016-11,Bombo Station,Train,Exit,590
2016-12,Bombo Station,Train,Entry,690
2016-12,Bombo Station,Train,Exit,560
2017-01,Bombo Station,Train,Entry,660
2017-01,Bombo Station,Train,Exit,720
2017-02,Bombo Station,Train,Entry,640
2017-02,Bombo Station,Train,Exit,490
2017-03,Bombo Station,Train,Entry,810
2017-03,Bombo Station,Train,Exit,660
2017-04,Bombo Station,Train,Entry,870
2017-04,Bombo Station,Train,Exit,680
2017-05,Bombo Station,Train,Entry,980
2017-05,Bombo Station,Train,Exit,890
2017-06,Bombo Station,Train,Entry,890
2017-06,Bombo Station,Train,Exit,820
2017-07,Bombo Station,Train,Entry,910
2017-07,Bombo Station,Train,Exit,790
2017-08,Bombo Station,Train,Entry,950
2017-08,Bombo Station,Train,Exit,760
2017-09,Bombo Station,Train,Entry,970
2017-09,Bombo Station,Train,Exit,750
2017-10,Bombo Station,Train,Entry,900
2017-10,Bombo Station,Train,Exit,740
2017-11,Bombo Station,Train,Entry,800
2017-11,Bombo Station,Train,Exit,720
2017-12,Bombo Station,Train,Entry,800
2017-12,Bombo Station,Train,Exit,660
2018-01,Bombo Station,Train,Entry,650
2018-01,Bombo Station,Train,Exit,660
2018-02,Bombo Station,Train,Entry,710
2018-02,Bombo Station,Train,Exit,590
2018-03,Bombo Station,Train,Entry,770
2018-03,Bombo Station,Train,Exit,670
2018-04,Bombo Station,Train,Entry,840
2018-04,Bombo Station,Train,Exit,800
2018-05,Bombo Station,Train,Entry,760
2018-05,Bombo Station,Train,Exit,660
2018-06,Bombo Station,Train,Entry,560
2018-06,Bombo Station,Train,Exit,560
2018-07,Bombo Station,Train,Entry,820
2018-07,Bombo Station,Train,Exit,720
2018-08,Bombo Station,Train,Entry,780
2018-08,Bombo Station,Train,Exit,740
2018-09,Bombo Station,Train,Entry,990
2018-09,Bombo Station,Train,Exit,800
2018-10,Bombo Station,Train,Entry,770
2018-10,Bombo Station,Train,Exit,650
2018-11,Bombo Station,Train,Entry,1020
2018-11,Bombo Station,Train,Exit,830
2018-12,Bombo Station,Train,Entry,730
2018-12,Bombo Station,Train,Exit,630
2019-01,Bombo Station,Train,Entry,790
2019-01,Bombo Station,Train,Exit,690
2019-02,Bombo Station,Train,Entry,720
2019-02,Bombo Station,Train,Exit,620
2019-03,Bombo Station,Train,Entry,850
2019-03,Bombo Station,Train,Exit,640
2019-04,Bombo Station,Train,Entry,1100
2019-04,Bombo Station,Train,Exit,960
2019-05,Bombo Station,Train,Entry,1190
2019-05,Bombo Station,Train,Exit,960
2019-06,Bombo Station,Train,Entry,790
2019-06,Bombo Station,Train,Exit,620
2019-07,Bombo Station,Train,Entry,850
2019-07,Bombo Station,Train,Exit,760
2019-08,Bombo Station,Train,Entry,780
2019-08,Bombo Station,Train,Exit,750
2019-09,Bombo Station,Train,Entry,760
2019-09,Bombo Station,Train,Exit,790
2019-10,Bombo Station,Train,Entry,1010
2019-10,Bombo Station,Train,Exit,830
2019-11,Bombo Station,Train,Entry,1120
2019-11,Bombo Station,Train,Exit,1000
2019-12,Bombo Station,Train,Entry,1060
2019-12,Bombo Station,Train,Exit,860
2020-01,Bombo Station,Train,Entry,790
2020-01,Bombo Station,Train,Exit,690
2020-02,Bombo Station,Train,Entry,620
2020-02,Bombo Station,Train,Exit,530
2020-03,Bombo Station,Train,Entry,650
2020-03,Bombo Station,Train,Exit,570
2020-04,Bombo Station,Train,Entry,130
2020-04,Bombo Station,Train,Exit,100
2020-05,Bombo Station,Train,Entry,320
2020-05,Bombo Station,Train,Exit,270
2020-06,Bombo Station,Train,Entry,700
2020-06,Bombo Station,Train,Exit,610
2020-07,Bombo Station,Train,Entry,620
2020-07,Bombo Station,Train,Exit,520
2020-08,Bombo Station,Train,Entry,520
2020-08,Bombo Station,Train,Exit,400
2020-09,Bombo Station,Train,Entry,540
2020-09,Bombo Station,Train,Exit,410
2020-10,Bombo Station,Train,Entry,640
2020-10,Bombo Station,Train,Exit,490
2020-11,Bombo Station,Train,Entry,580
2020-11,Bombo Station,Train,Exit,440
2020-12,Bombo Station,Train,Entry,640
2020-12,Bombo Station,Train,Exit,530
2021-01,Bombo Station,Train,Entry,540
2021-01,Bombo Station,Train,Exit,450
2021-02,Bombo Station,Train,Entry,510
2021-02,Bombo Station,Train,Exit,410
2021-03,Bombo Station,Train,Entry,540
2021-03,Bombo Station,Train,Exit,450
2021-04,Bombo Station,Train,Entry,850
2021-04,Bombo Station,Train,Exit,800
2021-05,Bombo Station,Train,Entry,540
2021-05,Bombo Station,Train,Exit,470
2021-06,Bombo Station,Train,Entry,400
2021-06,Bombo Station,Train,Exit,340
2021-07,Bombo Station,Train,Entry,70
2021-07,Bombo Station,Train,Exit,60
2021-08,Bombo Station,Train,Entry,Less than 50
2021-08,Bombo Station,Train,Exit,Less than 50
2021-09,Bombo Station,Train,Entry,Less than 50
2021-09,Bombo Station,Train,Exit,Less than 50
2021-10,Bombo Station,Train,Entry,130
2021-10,Bombo Station,Train,Exit,100
2021-11,Bombo Station,Train,Entry,370
2021-11,Bombo Station,Train,Exit,300
2021-12,Bombo Station,Train,Entry,340
2021-12,Bombo Station,Train,Exit,280
2022-01,Bombo Station,Train,Entry,370
2022-01,Bombo Station,Train,Exit,270
2022-02,Bombo Station,Train,Entry,290
2022-02,Bombo Station,Train,Exit,230
2022-03,Bombo Station,Train,Entry,210
2022-03,Bombo Station,Train,Exit,160
2022-04,Bombo Station,Train,Entry,380
2022-04,Bombo Station,Train,Exit,290
2022-05,Bombo Station,Train,Entry,430
2022-05,Bombo Station,Train,Exit,380
2022-06,Bombo Station,Train,Entry,450
2022-06,Bombo Station,Train,Exit,380
2022-07,Bombo Station,Train,Entry,370
2022-07,Bombo Station,Train,Exit,280
2022-08,Bombo Station,Train,Entry,530
2022-08,Bombo Station,Train,Exit,400
2022-09,Bombo Station,Train,Entry,500
2022-09,Bombo Station,Train,Exit,380
2022-10,Bombo Station,Train,Entry,580
2022-10,Bombo Station,Train,Exit,520
2022-11,Bombo Station,Train,Entry,590
2022-11,Bombo Station,Train,Exit,480
2022-12,Bombo Station,Train,Entry,790
2022-12,Bombo Station,Train,Exit,630
2023-01,Bombo Station,Train,Entry,740
2023-01,Bombo Station,Train,Exit,660
2023-02,Bombo Station,Train,Entry,590
2023-02,Bombo Station,Train,Exit,490
2023-03,Bombo Station,Train,Entry,700
2023-03,Bombo Station,Train,Exit,680
2023-04,Bombo Station,Train,Entry,680
2023-04,Bombo Station,Train,Exit,620
2023-05,Bombo Station,Train,Entry,610
2023-05,Bombo Station,Train,Exit,570
2023-06,Bombo Station,Train,Entry,660
2023-06,Bombo Station,Train,Exit,500
2023-07,Bombo Station,Train,Entry,850
2023-07,Bombo Station,Train,Exit,660
2023-08,Bombo Station,Train,Entry,840
2023-08,Bombo Station,Train,Exit,690
2023-09,Bombo Station,Train,Entry,930
2023-09,Bombo Station,Train,Exit,770
2023-10,Bombo Station,Train,Entry,830
2023-10,Bombo Station,Train,Exit,650
2023-11,Bombo Station,Train,Entry,710
2023-11,Bombo Station,Train,Exit,620
2023-12,Bombo Station,Train,Entry,760
2023-12,Bombo Station,Train,Exit,690
2024-01,Bombo Station,Train,Entry,910
2024-01,Bombo Station,Train,Exit,730
2024-02,Bombo Station,Train,Entry,740
2024-02,Bombo Station,Train,Exit,600
2024-03,Bombo Station,Train,Entry,1030
2024-03,Bombo Station,Train,Exit,870
2024-04,Bombo Station,Train,Entry,730
2024-04,Bombo Station,Train,Exit,590
2024-05,Bombo Station,Train,Entry,700
2024-05,Bombo Station,Train,Exit,670
2024-06,Bombo Station,Train,Entry,680
2024-06,Bombo Station,Train,Exit,600
2016-07,Bondi Junction Station,Train,Entry,626540
2016-07,Bondi Junction Station,Train,Exit,611740
2016-08,Bondi Junction Station,Train,Entry,697220
2016-08,Bondi Junction Station,Train,Exit,690510
2016-09,Bondi Junction Station,Train,Entry,698910
2016-09,Bondi Junction Station,Train,Exit,689970
2016-10,Bondi Junction Station,Train,Entry,691190
2016-10,Bondi Junction Station,Train,Exit,681000
2016-11,Bondi Junction Station,Train,Entry,781930
2016-11,Bondi Junction Station,Train,Exit,768800
2016-12,Bondi Junction Station,Train,Entry,745870
2016-12,Bondi Junction Station,Train,Exit,729730
2017-01,Bondi Junction Station,Train,Entry,699100
2017-01,Bondi Junction Station,Train,Exit,701500
2017-02,Bondi Junction Station,Train,Entry,704590
2017-02,Bondi Junction Station,Train,Exit,694000
2017-03,Bondi Junction Station,Train,Entry,791490
2017-03,Bondi Junction Station,Train,Exit,770050
2017-04,Bondi Junction Station,Train,Entry,657780
2017-04,Bondi Junction Station,Train,Exit,647670
2017-05,Bondi Junction Station,Train,Entry,723570
2017-05,Bondi Junction Station,Train,Exit,710590
2017-06,Bondi Junction Station,Train,Entry,690650
2017-06,Bondi Junction Station,Train,Exit,676920
2017-07,Bondi Junction Station,Train,Entry,670580
2017-07,Bondi Junction Station,Train,Exit,660960
2017-08,Bondi Junction Station,Train,Entry,734120
2017-08,Bondi Junction Station,Train,Exit,721610
2017-09,Bondi Junction Station,Train,Entry,725450
2017-09,Bondi Junction Station,Train,Exit,718040
2017-10,Bondi Junction Station,Train,Entry,778650
2017-10,Bondi Junction Station,Train,Exit,765170
2017-11,Bondi Junction Station,Train,Entry,798230
2017-11,Bondi Junction Station,Train,Exit,781120
2017-12,Bondi Junction Station,Train,Entry,767870
2017-12,Bondi Junction Station,Train,Exit,741890
2018-01,Bondi Junction Station,Train,Entry,741850
2018-01,Bondi Junction Station,Train,Exit,737290
2018-02,Bondi Junction Station,Train,Entry,738830
2018-02,Bondi Junction Station,Train,Exit,717540
2018-03,Bondi Junction Station,Train,Entry,779530
2018-03,Bondi Junction Station,Train,Exit,752360
2018-04,Bondi Junction Station,Train,Entry,688410
2018-04,Bondi Junction Station,Train,Exit,668180
2018-05,Bondi Junction Station,Train,Entry,779660
2018-05,Bondi Junction Station,Train,Exit,754030
2018-06,Bondi Junction Station,Train,Entry,708170
2018-06,Bondi Junction Station,Train,Exit,683500
2018-07,Bondi Junction Station,Train,Entry,735840
2018-07,Bondi Junction Station,Train,Exit,717550
2018-08,Bondi Junction Station,Train,Entry,763050
2018-08,Bondi Junction Station,Train,Exit,741630
2018-09,Bondi Junction Station,Train,Entry,682240
2018-09,Bondi Junction Station,Train,Exit,662280
2018-10,Bondi Junction Station,Train,Entry,808260
2018-10,Bondi Junction Station,Train,Exit,779680
2018-11,Bondi Junction Station,Train,Entry,822680
2018-11,Bondi Junction Station,Train,Exit,786030
2018-12,Bondi Junction Station,Train,Entry,725640
2018-12,Bondi Junction Station,Train,Exit,694530
2019-01,Bondi Junction Station,Train,Entry,755140
2019-01,Bondi Junction Station,Train,Exit,743740
2019-02,Bondi Junction Station,Train,Entry,746100
2019-02,Bondi Junction Station,Train,Exit,719950
2019-03,Bondi Junction Station,Train,Entry,805510
2019-03,Bondi Junction Station,Train,Exit,774820
2019-04,Bondi Junction Station,Train,Entry,650020
2019-04,Bondi Junction Station,Train,Exit,629160
2019-05,Bondi Junction Station,Train,Entry,779690
2019-05,Bondi Junction Station,Train,Exit,752520
2019-06,Bondi Junction Station,Train,Entry,689730
2019-06,Bondi Junction Station,Train,Exit,670400
2019-07,Bondi Junction Station,Train,Entry,743100
2019-07,Bondi Junction Station,Train,Exit,719480
2019-08,Bondi Junction Station,Train,Entry,730550
2019-08,Bondi Junction Station,Train,Exit,705030
2019-09,Bondi Junction Station,Train,Entry,725400
2019-09,Bondi Junction Station,Train,Exit,703950
2019-10,Bondi Junction Station,Train,Entry,791420
2019-10,Bondi Junction Station,Train,Exit,768520
2019-11,Bondi Junction Station,Train,Entry,821370
2019-11,Bondi Junction Station,Train,Exit,793010
2019-12,Bondi Junction Station,Train,Entry,760760
2019-12,Bondi Junction Station,Train,Exit,727450
2020-01,Bondi Junction Station,Train,Entry,747270
2020-01,Bondi Junction Station,Train,Exit,736950
2020-02,Bondi Junction Station,Train,Entry,725950
2020-02,Bondi Junction Station,Train,Exit,705870
2020-03,Bondi Junction Station,Train,Entry,514160
2020-03,Bondi Junction Station,Train,Exit,509090
2020-04,Bondi Junction Station,Train,Entry,125130
2020-04,Bondi Junction Station,Train,Exit,129920
2020-05,Bondi Junction Station,Train,Entry,218940
2020-05,Bondi Junction Station,Train,Exit,226790
2020-06,Bondi Junction Station,Train,Entry,323310
2020-06,Bondi Junction Station,Train,Exit,328610
2020-07,Bondi Junction Station,Train,Entry,374630
2020-07,Bondi Junction Station,Train,Exit,378110
2020-08,Bondi Junction Station,Train,Entry,331550
2020-08,Bondi Junction Station,Train,Exit,335990
2020-09,Bondi Junction Station,Train,Entry,368740
2020-09,Bondi Junction Station,Train,Exit,373240
2020-10,Bondi Junction Station,Train,Entry,399710
2020-10,Bondi Junction Station,Train,Exit,402270
2020-11,Bondi Junction Station,Train,Entry,415210
2020-11,Bondi Junction Station,Train,Exit,416580
2020-12,Bondi Junction Station,Train,Entry,399410
2020-12,Bondi Junction Station,Train,Exit,394770
2021-01,Bondi Junction Station,Train,Entry,350620
2021-01,Bondi Junction Station,Train,Exit,352940
2021-02,Bondi Junction Station,Train,Entry,408240
2021-02,Bondi Junction Station,Train,Exit,403940
2021-03,Bondi Junction Station,Train,Entry,465960
2021-03,Bondi Junction Station,Train,Exit,457910
2021-04,Bondi Junction Station,Train,Entry,420880
2021-04,Bondi Junction Station,Train,Exit,411660
2021-05,Bondi Junction Station,Train,Entry,453130
2021-05,Bondi Junction Station,Train,Exit,446240
2021-06,Bondi Junction Station,Train,Entry,356380
2021-06,Bondi Junction Station,Train,Exit,349350
2021-07,Bondi Junction Station,Train,Entry,104430
2021-07,Bondi Junction Station,Train,Exit,108830
2021-08,Bondi Junction Station,Train,Entry,99750
2021-08,Bondi Junction Station,Train,Exit,104490
2021-09,Bondi Junction Station,Train,Entry,107460
2021-09,Bondi Junction Station,Train,Exit,111650
2021-10,Bondi Junction Station,Train,Entry,225950
2021-10,Bondi Junction Station,Train,Exit,228680
2021-11,Bondi Junction Station,Train,Entry,321350
2021-11,Bondi Junction Station,Train,Exit,318630
2021-12,Bondi Junction Station,Train,Entry,319520
2021-12,Bondi Junction Station,Train,Exit,317950
2022-01,Bondi Junction Station,Train,Entry,240430
2022-01,Bondi Junction Station,Train,Exit,249490
2022-02,Bondi Junction Station,Train,Entry,285750
2022-02,Bondi Junction Station,Train,Exit,288000
2022-03,Bondi Junction Station,Train,Entry,367240
2022-03,Bondi Junction Station,Train,Exit,359830
2022-04,Bondi Junction Station,Train,Entry,340100
2022-04,Bondi Junction Station,Train,Exit,335340
2022-05,Bondi Junction Station,Train,Entry,428220
2022-05,Bondi Junction Station,Train,Exit,422010
2022-06,Bondi Junction Station,Train,Entry,426270
2022-06,Bondi Junction Station,Train,Exit,419430
2022-07,Bondi Junction Station,Train,Entry,386880
2022-07,Bondi Junction Station,Train,Exit,382240
2022-08,Bondi Junction Station,Train,Entry,375650
2022-08,Bondi Junction Station,Train,Exit,364680
2022-09,Bondi Junction Station,Train,Entry,383450
2022-09,Bondi Junction Station,Train,Exit,374550
2022-10,Bondi Junction Station,Train,Entry,473040
2022-10,Bondi Junction Station,Train,Exit,469660
2022-11,Bondi Junction Station,Train,Entry,402540
2022-11,Bondi Junction Station,Train,Exit,394600
2022-12,Bondi Junction Station,Train,Entry,505050
2022-12,Bondi Junction Station,Train,Exit,493480
2023-01,Bondi Junction Station,Train,Entry,481310
2023-01,Bondi Junction Station,Train,Exit,487300
2023-02,Bondi Junction Station,Train,Entry,521470
2023-02,Bondi Junction Station,Train,Exit,512770
2023-03,Bondi Junction Station,Train,Entry,544640
2023-03,Bondi Junction Station,Train,Exit,531320
2023-04,Bondi Junction Station,Train,Entry,407660
2023-04,Bondi Junction Station,Train,Exit,401920
2023-05,Bondi Junction Station,Train,Entry,535280
2023-05,Bondi Junction Station,Train,Exit,526760
2023-06,Bondi Junction Station,Train,Entry,503260
2023-06,Bondi Junction Station,Train,Exit,498780
2023-07,Bondi Junction Station,Train,Entry,500200
2023-07,Bondi Junction Station,Train,Exit,496280
2023-08,Bondi Junction Station,Train,Entry,557040
2023-08,Bondi Junction Station,Train,Exit,553470
2023-09,Bondi Junction Station,Train,Entry,557470
2023-09,Bondi Junction Station,Train,Exit,559170
