MonthYear,Station,"Station_Type ",Entry_Exit,Trip
2021-02,Aberdeen Station,Train,Exit,Less than 50
2021-03,Aberdeen Station,Train,Entry,Less than 50
2021-03,Aberdeen Station,Train,Exit,Less than 50
2021-04,Aberdeen Station,Train,Entry,Less than 50
2021-04,Aberdeen Station,Train,Exit,Less than 50
2021-05,Aberdeen Station,Train,Entry,Less than 50
2021-05,Aberdeen Station,Train,Exit,Less than 50
2021-06,Aberdeen Station,Train,Entry,Less than 50
2021-06,Aberdeen Station,Train,Exit,Less than 50
2021-07,Aberdeen Station,Train,Entry,Less than 50
2021-07,Aberdeen Station,Train,Exit,Less than 50
2021-08,Aberdeen Station,Train,Entry,Less than 50
2021-08,Aberdeen Station,Train,Exit,Less than 50
2021-09,Aberdeen Station,Train,Entry,Less than 50
2021-09,Aberdeen Station,Train,Exit,Less than 50
2021-10,Aberdeen Station,Train,Entry,Less than 50
2021-10,Aberdeen Station,Train,Exit,Less than 50
2021-11,Aberdeen Station,Train,Entry,Less than 50
2021-11,Aberdeen Station,Train,Exit,Less than 50
2021-12,Aberdeen Station,Train,Entry,Less than 50
2021-12,Aberdeen Station,Train,Exit,Less than 50
2022-01,Aberdeen Station,Train,Entry,Less than 50
2022-01,Aberdeen Station,Train,Exit,Less than 50
2022-02,Aberdeen Station,Train,Entry,Less than 50
2022-02,Aberdeen Station,Train,Exit,Less than 50
2022-03,Aberdeen Station,Train,Entry,Less than 50
2022-03,Aberdeen Station,Train,Exit,Less than 50
2022-04,Aberdeen Station,Train,Entry,Less than 50
2022-04,Aberdeen Station,Train,Exit,Less than 50
2022-05,Aberdeen Station,Train,Entry,Less than 50
2022-05,Aberdeen Station,Train,Exit,Less than 50
2022-06,Aberdeen Station,Train,Entry,Less than 50
2022-06,Aberdeen Station,Train,Exit,Less than 50
2022-07,Aberdeen Station,Train,Entry,Less than 50
2022-07,Aberdeen Station,Train,Exit,Less than 50
2022-08,Aberdeen Station,Train,Entry,Less than 50
2022-08,Aberdeen Station,Train,Exit,Less than 50
2022-09,Aberdeen Station,Train,Entry,Less than 50
2022-09,Aberdeen Station,Train,Exit,Less than 50
2022-10,Aberdeen Station,Train,Entry,60
2022-10,Aberdeen Station,Train,Exit,Less than 50
2022-11,Aberdeen Station,Train,Entry,60
2022-11,Aberdeen Station,Train,Exit,Less than 50
2022-12,Aberdeen Station,Train,Entry,Less than 50
2022-12,Aberdeen Station,Train,Exit,Less than 50
2023-01,Aberdeen Station,Train,Entry,Less than 50
2023-01,Aberdeen Station,Train,Exit,Less than 50
2023-02,Aberdeen Station,Train,Entry,Less than 50
